Adjectives,	Nouns
amortized,additions
analyzed,addresses
balanced,algorithm
birthday,analysis
bounded,ancestor
chance,base case
child	bounds
circular,branches
compiling,chain
complete,children
conditional,compilation
constant,conditionals
contiguous,corpora
data,data
deterministic,descendant
dry-running,documents
dummy,evaluation
dynamic,exponents
efficient,expressions
expected,factorial
exponential,factors
fibonacci,functions
full,heaps
greedy,heights
hashed,implementation
imbalanced,interface
indented,keys
indexed,leaves
internal,levels
inverted,links
iterative	lists
lazy,loop
leaf,nodes
linear,O-notation
linked,operations
log-base,paradoxes
logarithmic,pointers
loose,priorities
merged,programming
nested,programs
parent,properties
perfect,pseudocode
probabilistic,query
quadratic,recursion
random,removal
recursive,roots
rotating,sentinels
sibling,statements
skipped,structures
sorted,subtree
square,tests
sub-linear,trees
supra-linear,values
terminal,variables
tight,
timed,	
unsorted,	
worst-case,	
